seed,scenario_family,decision_date,budget,policy_kind,latency_days,policy_value,fresh_policy_value,stale_regret,relative_loss,target_overlap,missed_at_risk,window_miss_rate,selected_customers,partial_reopt_policy_value,partial_reopt_stale_regret,partial_reopt_relative_loss,partial_reopt_target_overlap,partial_reopt_missed_at_risk,partial_reopt_window_miss_rate,partial_reopt_selected_customers,partial_reopt_regret_recovery_ratio,partial_reopt_full_refresh_value_ratio,partial_reopt_optimization_call_ratio,partial_reopt_target_overlap_recovery,partial_reopt_missed_at_risk_recovery,partial_reopt_window_miss_rate_recovery,random_refresh_policy_value,random_refresh_stale_regret,random_refresh_relative_loss,random_refresh_target_overlap,random_refresh_missed_at_risk,random_refresh_window_miss_rate,random_refresh_selected_customers,random_refresh_full_refresh_value_ratio,random_refresh_optimization_call_ratio,random_refresh_target_overlap_recovery,random_refresh_missed_at_risk_recovery,random_refresh_window_miss_rate_recovery,top_risk_refresh_policy_value,top_risk_refresh_stale_regret,top_risk_refresh_relative_loss,top_risk_refresh_target_overlap,top_risk_refresh_missed_at_risk,top_risk_refresh_window_miss_rate,top_risk_refresh_selected_customers,top_risk_refresh_full_refresh_value_ratio,top_risk_refresh_optimization_call_ratio,top_risk_refresh_target_overlap_recovery,top_risk_refresh_missed_at_risk_recovery,top_risk_refresh_window_miss_rate_recovery,top_value_refresh_policy_value,top_value_refresh_stale_regret,top_value_refresh_relative_loss,top_value_refresh_target_overlap,top_value_refresh_missed_at_risk,top_value_refresh_window_miss_rate,top_value_refresh_selected_customers,top_value_refresh_full_refresh_value_ratio,top_value_refresh_optimization_call_ratio,top_value_refresh_target_overlap_recovery,top_value_refresh_missed_at_risk_recovery,top_value_refresh_window_miss_rate_recovery
41,complaint-heavy,2025-03-26,2640000,base-stale,0,47381137.154437,47381137.154437,0.0,0.0,1.0,0.0,0.0,338,47381137.154437,0.0,0.0,1.0,0.0,0.0,338.0,0.0,1.0,0.020096,0.0,0.0,0.0,47381137.154437,0.0,0.0,1.0,0.0,0.0,338.0,1.0,0.020096,0.0,0.0,0.0,47381137.154437,0.0,0.0,1.0,0.0,0.0,338.0,1.0,0.020096,0.0,0.0,0.0,47381137.154437,0.0,0.0,1.0,0.0,0.0,338.0,1.0,0.020096,0.0,0.0,0.0
41,complaint-heavy,2025-03-26,7250000,base-stale,0,80988667.336297,80988667.336297,0.0,0.0,1.0,0.0,0.0,1190,80988667.336297,0.0,0.0,1.0,0.0,0.0,1190.0,0.0,1.0,0.020096,0.0,0.0,0.0,80988667.336297,0.0,0.0,1.0,0.0,0.0,1190.0,1.0,0.020096,0.0,0.0,0.0,80988667.336297,0.0,0.0,1.0,0.0,0.0,1190.0,1.0,0.020096,0.0,0.0,0.0,80988667.336297,0.0,0.0,1.0,0.0,0.0,1190.0,1.0,0.020096,0.0,0.0,0.0
41,complaint-heavy,2025-03-26,11530000,base-stale,0,90837754.317889,90837754.317889,0.0,0.0,1.0,0.0,0.0,2122,90837754.317889,0.0,0.0,1.0,0.0,0.0,2122.0,0.0,1.0,0.020096,0.0,0.0,0.0,90837754.317889,0.0,0.0,1.0,0.0,0.0,2122.0,1.0,0.020096,0.0,0.0,0.0,90837754.317889,0.0,0.0,1.0,0.0,0.0,2122.0,1.0,0.020096,0.0,0.0,0.0,90837754.317889,0.0,0.0,1.0,0.0,0.0,2122.0,1.0,0.020096,0.0,0.0,0.0
41,complaint-heavy,2025-03-26,2640000,base-stale,1,50482989.725464,47381137.154437,-3101852.571027,-0.065466,0.878698,0.169421,0.0,327,49281549.51902,-1900412.364583,-0.040109,0.934911,0.086777,0.0,341.0,-0.38733,1.040109,0.062473,0.463414,0.487803,0.0,50303018.469899,-2921881.315462,-0.061668,0.887574,0.157025,0.0,328.0,1.061668,0.062473,0.073173,0.073167,0.0,50316817.83151,-2935680.677073,-0.061959,0.911243,0.123967,0.0,329.0,1.061959,0.062473,0.268297,0.26829,0.0,50146827.321031,-2765690.166594,-0.058371,0.884615,0.161157,0.0,327.0,1.058371,0.062473,0.048779,0.048778,0.0
41,complaint-heavy,2025-03-26,7250000,base-stale,1,81247754.683117,80988667.336297,-259087.34682,-0.003199,0.838655,0.199153,0.0,1170,80850019.952247,138647.38405,0.001712,0.868067,0.138418,0.0,1175.0,-1.535138,0.998288,0.062473,0.182293,0.304967,0.0,81236944.395619,-248277.059322,-0.003066,0.847059,0.185028,0.0,1167.0,1.003066,0.062473,0.052087,0.070925,0.0,81248743.113999,-260075.777702,-0.003211,0.843697,0.19209,0.0,1170.0,1.003211,0.062473,0.03125,0.035465,0.0,81043136.673707,-54469.33741,-0.000673,0.838655,0.199153,0.0,1167.0,1.000673,0.062473,0.0,0.0,0.0
41,complaint-heavy,2025-03-26,11530000,base-stale,1,90988607.413775,90837754.317889,-150853.095886,-0.001661,0.888313,0.107588,0.0,2135,90982784.442416,-145030.124527,-0.001597,0.89491,0.082673,0.0,2140.0,-0.0386,1.001597,0.062473,0.059067,0.231578,0.0,91043463.718107,-205709.400218,-0.002265,0.892554,0.103058,0.0,2136.0,1.002265,0.062473,0.037972,0.042105,0.0,90970657.237502,-132902.919613,-0.001463,0.89114,0.105323,0.0,2136.0,1.001463,0.062473,0.025312,0.021053,0.0,90937616.361908,-99862.044019,-0.001099,0.887842,0.107588,0.0,2133.0,1.001099,0.062473,-0.004217,0.0,0.0
41,complaint-heavy,2025-03-26,2640000,base-stale,3,49565244.950007,47381137.154437,-2184107.79557,-0.046097,0.905325,0.132231,0.005988,334,48531038.206327,-1149901.05189,-0.024269,0.928994,0.090909,0.003003,333.0,-0.473515,1.024269,0.051769,0.250003,0.312499,0.498497,49411150.593127,-2030013.43869,-0.042844,0.905325,0.128099,0.005988,334.0,1.042844,0.051769,0.0,0.031248,0.0,49671975.068275,-2290837.913838,-0.048349,0.923077,0.107438,0.002976,336.0,1.048349,0.051769,0.187505,0.187498,0.503006,48832677.938233,-1451540.783796,-0.030635,0.902367,0.136364,0.006135,326.0,1.030635,0.051769,-0.031244,-0.031256,-0.024549
41,complaint-heavy,2025-03-26,2640000,stronger-but-stale,3,48720685.700034,47381137.154437,-1339548.545597,-0.028272,0.843195,0.210744,0.04,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,complaint-heavy,2025-03-26,2640000,weaker-but-fresh,0,25203825.802564,47381137.154437,22177311.351873,0.468062,0.748521,0.049587,0.0,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,complaint-heavy,2025-03-26,7250000,base-stale,3,80341800.938953,80988667.336297,646866.397344,0.007987,0.842017,0.180791,0.001685,1187,80208400.630933,780266.705364,0.009634,0.862185,0.135593,0.000838,1194.0,-0.206225,0.990366,0.051769,0.127659,0.250001,0.502671,80316764.568532,671902.767765,0.008296,0.85042,0.166667,0.001685,1187.0,0.991704,0.051769,0.053189,0.078123,0.0,80332192.577421,656474.758876,0.008106,0.842857,0.180791,0.000843,1186.0,0.991894,0.051769,0.005317,0.0,0.499703,80297917.279701,690750.056596,0.008529,0.841176,0.180791,0.001686,1186.0,0.991471,0.051769,-0.005323,0.0,-0.000593
41,complaint-heavy,2025-03-26,7250000,stronger-but-stale,3,80409988.424166,80988667.336297,578678.912131,0.007145,0.793277,0.257062,0.011686,1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,complaint-heavy,2025-03-26,7250000,weaker-but-fresh,0,62254100.761497,80988667.336297,18734566.5748,0.231323,0.760504,0.032486,0.0,1475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,complaint-heavy,2025-03-26,11530000,base-stale,3,90596864.301255,90837754.317889,240890.016634,0.002652,0.882658,0.105323,0.000926,2160,90646495.53687,191258.781019,0.002105,0.888313,0.08154,0.000463,2158.0,0.206033,0.997895,0.051769,0.048192,0.22581,0.5,90620224.444717,217529.873172,0.002395,0.887842,0.098528,0.000926,2159.0,0.997605,0.051769,0.044179,0.064516,0.0,90603038.825098,234715.492791,0.002584,0.8836,0.105323,0.000463,2160.0,0.997416,0.051769,0.008028,0.0,0.5,90585922.43914,251831.878749,0.002772,0.883129,0.105323,0.000926,2160.0,0.997228,0.051769,0.004014,0.0,0.0
41,complaint-heavy,2025-03-26,11530000,stronger-but-stale,3,90608772.91803,90837754.317889,228981.399859,0.002521,0.869934,0.147225,0.006536,2142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,complaint-heavy,2025-03-26,11530000,weaker-but-fresh,0,87949416.121607,90837754.317889,2888338.196282,0.031797,0.856268,0.002265,0.0,2267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,complaint-heavy,2025-03-26,2640000,base-stale,7,49609092.468374,47381137.154437,-2227955.313937,-0.047022,0.893491,0.140496,0.029851,335,48892531.739518,-1511394.585081,-0.031899,0.931953,0.086777,0.029412,340.0,-0.321623,1.031899,0.050459,0.361115,0.382353,0.014706,49827213.885528,-2446076.731091,-0.051626,0.902367,0.132231,0.029851,335.0,1.051626,0.050459,0.083336,0.058827,0.0,49723046.836677,-2341909.68224,-0.049427,0.911243,0.119835,0.029851,335.0,1.049427,0.050459,0.166671,0.147058,0.0,49603089.605908,-2221952.451471,-0.046895,0.902367,0.136364,0.029851,335.0,1.046895,0.050459,0.083336,0.02941,0.0
