scenario_family,budget,policy_kind,latency_days,block_count,policy_value_mean,policy_value_ci_low,policy_value_ci_high,stale_regret_mean,stale_regret_ci_low,stale_regret_ci_high,relative_loss_mean,relative_loss_ci_low,relative_loss_ci_high,target_overlap_mean,target_overlap_ci_low,target_overlap_ci_high,missed_at_risk_mean,missed_at_risk_ci_low,missed_at_risk_ci_high,window_miss_rate_mean,window_miss_rate_ci_low,window_miss_rate_ci_high,selected_customers_mean,selected_customers_ci_low,selected_customers_ci_high,partial_reopt_optimization_call_ratio_mean,partial_reopt_optimization_call_ratio_ci_low,partial_reopt_optimization_call_ratio_ci_high,partial_reopt_regret_recovery_ratio_mean,partial_reopt_regret_recovery_ratio_ci_low,partial_reopt_regret_recovery_ratio_ci_high,partial_reopt_full_refresh_value_ratio_mean,partial_reopt_full_refresh_value_ratio_ci_low,partial_reopt_full_refresh_value_ratio_ci_high,partial_reopt_target_overlap_mean,partial_reopt_target_overlap_ci_low,partial_reopt_target_overlap_ci_high,partial_reopt_missed_at_risk_mean,partial_reopt_missed_at_risk_ci_low,partial_reopt_missed_at_risk_ci_high,partial_reopt_window_miss_rate_mean,partial_reopt_window_miss_rate_ci_low,partial_reopt_window_miss_rate_ci_high,partial_reopt_relative_loss_mean,partial_reopt_relative_loss_ci_low,partial_reopt_relative_loss_ci_high,partial_reopt_target_overlap_recovery_mean,partial_reopt_target_overlap_recovery_ci_low,partial_reopt_target_overlap_recovery_ci_high,partial_reopt_missed_at_risk_recovery_mean,partial_reopt_missed_at_risk_recovery_ci_low,partial_reopt_missed_at_risk_recovery_ci_high,partial_reopt_window_miss_rate_recovery_mean,partial_reopt_window_miss_rate_recovery_ci_low,partial_reopt_window_miss_rate_recovery_ci_high,random_refresh_full_refresh_value_ratio_mean,random_refresh_full_refresh_value_ratio_ci_low,random_refresh_full_refresh_value_ratio_ci_high,random_refresh_target_overlap_mean,random_refresh_target_overlap_ci_low,random_refresh_target_overlap_ci_high,random_refresh_missed_at_risk_mean,random_refresh_missed_at_risk_ci_low,random_refresh_missed_at_risk_ci_high,random_refresh_window_miss_rate_mean,random_refresh_window_miss_rate_ci_low,random_refresh_window_miss_rate_ci_high,random_refresh_relative_loss_mean,random_refresh_relative_loss_ci_low,random_refresh_relative_loss_ci_high,random_refresh_target_overlap_recovery_mean,random_refresh_target_overlap_recovery_ci_low,random_refresh_target_overlap_recovery_ci_high,random_refresh_missed_at_risk_recovery_mean,random_refresh_missed_at_risk_recovery_ci_low,random_refresh_missed_at_risk_recovery_ci_high,random_refresh_window_miss_rate_recovery_mean,random_refresh_window_miss_rate_recovery_ci_low,random_refresh_window_miss_rate_recovery_ci_high,top_risk_refresh_full_refresh_value_ratio_mean,top_risk_refresh_full_refresh_value_ratio_ci_low,top_risk_refresh_full_refresh_value_ratio_ci_high,top_risk_refresh_target_overlap_mean,top_risk_refresh_target_overlap_ci_low,top_risk_refresh_target_overlap_ci_high,top_risk_refresh_missed_at_risk_mean,top_risk_refresh_missed_at_risk_ci_low,top_risk_refresh_missed_at_risk_ci_high,top_risk_refresh_window_miss_rate_mean,top_risk_refresh_window_miss_rate_ci_low,top_risk_refresh_window_miss_rate_ci_high,top_risk_refresh_relative_loss_mean,top_risk_refresh_relative_loss_ci_low,top_risk_refresh_relative_loss_ci_high,top_risk_refresh_target_overlap_recovery_mean,top_risk_refresh_target_overlap_recovery_ci_low,top_risk_refresh_target_overlap_recovery_ci_high,top_risk_refresh_missed_at_risk_recovery_mean,top_risk_refresh_missed_at_risk_recovery_ci_low,top_risk_refresh_missed_at_risk_recovery_ci_high,top_risk_refresh_window_miss_rate_recovery_mean,top_risk_refresh_window_miss_rate_recovery_ci_low,top_risk_refresh_window_miss_rate_recovery_ci_high,top_value_refresh_full_refresh_value_ratio_mean,top_value_refresh_full_refresh_value_ratio_ci_low,top_value_refresh_full_refresh_value_ratio_ci_high,top_value_refresh_target_overlap_mean,top_value_refresh_target_overlap_ci_low,top_value_refresh_target_overlap_ci_high,top_value_refresh_missed_at_risk_mean,top_value_refresh_missed_at_risk_ci_low,top_value_refresh_missed_at_risk_ci_high,top_value_refresh_window_miss_rate_mean,top_value_refresh_window_miss_rate_ci_low,top_value_refresh_window_miss_rate_ci_high,top_value_refresh_relative_loss_mean,top_value_refresh_relative_loss_ci_low,top_value_refresh_relative_loss_ci_high,top_value_refresh_target_overlap_recovery_mean,top_value_refresh_target_overlap_recovery_ci_low,top_value_refresh_target_overlap_recovery_ci_high,top_value_refresh_missed_at_risk_recovery_mean,top_value_refresh_missed_at_risk_recovery_ci_low,top_value_refresh_missed_at_risk_recovery_ci_high,top_value_refresh_window_miss_rate_recovery_mean,top_value_refresh_window_miss_rate_recovery_ci_low,top_value_refresh_window_miss_rate_recovery_ci_high
complaint-heavy,2640000,base-stale,0,48,69868493.186256,66567494.441369,72505892.068353,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,247.8125,235.257812,260.017187,0.013182,0.010827,0.015284,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complaint-heavy,2640000,base-stale,1,48,70541682.261024,67844459.857671,73445937.219992,-673189.074768,-1070870.018993,-186762.061842,-0.011751,-0.018305,-0.005281,0.899465,0.892281,0.907082,0.131847,0.120033,0.143051,0.005299,0.004,0.006721,242.854167,232.222917,254.645312,0.053329,0.048382,0.057659,-2.372189,-4.531579,-1.021568,0.994974,0.989582,0.999749,0.932396,0.924216,0.939792,0.076179,0.063131,0.090228,0.005458,0.003915,0.006879,0.005026,3.3e-05,0.010359,0.32565,0.275893,0.372479,0.433695,0.375096,0.494185,-0.002598,-0.048474,0.054577,1.010472,1.003905,1.016263,0.905916,0.897623,0.912701,0.122266,0.110588,0.13569,0.005257,0.00374,0.006872,-0.010472,-0.016238,-0.004668,0.062723,0.040194,0.085146,0.075485,0.04884,0.100216,0.005113,0.002193,0.008038,1.013451,1.008486,1.017938,0.940239,0.934722,0.946792,0.071641,0.061722,0.080848,0.004887,0.003395,0.006722,-0.013451,-0.018104,-0.009342,0.388115,0.332991,0.442657,0.435741,0.377279,0.494799,0.06883,-0.00446,0.171813,1.010928,1.005237,1.016268,0.919293,0.911709,0.926309,0.119283,0.109105,0.130674,0.005402,0.00411,0.006936,-0.010928,-0.015446,-0.005659,0.19551,0.165105,0.231331,0.080492,0.040623,0.119153,-0.016557,-0.048597,0.006235
complaint-heavy,2640000,base-stale,3,48,70538667.804927,67182346.03573,73222113.430994,-670174.618671,-1080355.178973,-271928.473069,-0.01128,-0.017826,-0.005253,0.895055,0.887623,0.902443,0.139075,0.1279,0.150493,0.006301,0.004519,0.007761,242.9375,231.852604,254.215625,0.054067,0.04961,0.058219,-2.023578,-5.340941,0.062535,0.994897,0.990227,0.999201,0.925118,0.916125,0.932649,0.086328,0.073406,0.102151,0.006675,0.004878,0.0082,0.005103,0.001209,0.010348,0.289127,0.238708,0.339409,0.398571,0.34191,0.456289,-0.031571,-0.076973,0.014669,1.009758,1.003347,1.015583,0.899925,0.89167,0.907709,0.131136,0.118394,0.144228,0.006293,0.004772,0.007973,-0.009758,-0.01489,-0.004066,0.04216,0.015416,0.074878,0.048295,0.019511,0.089545,0.001061,-0.001671,0.003518,1.013398,1.009033,1.017924,0.941435,0.935767,0.946473,0.069279,0.060927,0.077068,0.005925,0.004426,0.007607,-0.013398,-0.017267,-0.008657,0.422048,0.382277,0.480903,0.473275,0.42702,0.533287,0.044142,-0.029734,0.132717,1.010394,1.005524,1.015278,0.915251,0.907973,0.921322,0.126784,0.116228,0.137551,0.006543,0.004759,0.008525,-0.010394,-0.014767,-0.005775,0.186416,0.151113,0.229684,0.066343,0.017588,0.122428,-0.023653,-0.052823,-0.000239
complaint-heavy,2640000,base-stale,7,48,70407053.338567,67913899.804633,73649177.189478,-538560.152311,-919186.931501,-98658.087416,-0.009576,-0.015431,-0.002934,0.885281,0.876275,0.892949,0.152896,0.13921,0.167532,0.022096,0.017351,0.02629,243.479167,232.018229,255.938021,0.054519,0.05099,0.058374,-1.475967,-2.037918,-0.968261,0.991294,0.986027,0.996443,0.923671,0.913888,0.932859,0.088462,0.073232,0.104339,0.02046,0.016821,0.024621,0.008706,0.003121,0.014243,0.344409,0.299805,0.38689,0.444147,0.390637,0.498276,0.047166,0.017694,0.073918,1.008762,1.002094,1.01548,0.892624,0.884131,0.899521,0.142706,0.131054,0.156734,0.021886,0.017426,0.026099,-0.008762,-0.014989,-0.002384,0.059211,0.041789,0.079403,0.059867,0.039615,0.079494,0.004918,-0.015327,0.026565,1.01243,1.007877,1.016139,0.936829,0.931128,0.941925,0.074867,0.066524,0.083381,0.018989,0.014863,0.022888,-0.01243,-0.017452,-0.007835,0.429759,0.383222,0.478386,0.480889,0.422487,0.540622,0.142642,0.07039,0.223285,1.007539,1.001894,1.013451,0.907869,0.901579,0.914901,0.136936,0.125088,0.147413,0.022129,0.018148,0.026081,-0.007539,-0.013924,-0.002037,0.185903,0.155101,0.219155,0.076954,0.033086,0.121903,-0.002116,-0.017488,0.01019
complaint-heavy,2640000,full-refresh,0,48,69868493.186256,66508411.904814,72719250.215091,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,247.8125,234.881771,259.9625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
complaint-heavy,2640000,stronger-but-stale,3,48,73548233.645938,70069172.127945,77121253.275365,-3679740.459683,-4293123.730477,-3049069.732647,-0.050487,-0.059464,-0.042767,0.776084,0.750522,0.798056,0.336204,0.294642,0.381991,0.020526,0.016798,0.024993,229.208333,213.378646,243.284896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complaint-heavy,2640000,weaker-but-fresh,0,48,30447484.73461,28550963.03795,32161224.699119,39421008.451646,35784575.982333,43318313.764878,0.550994,0.513125,0.585806,0.700845,0.682981,0.72094,0.076602,0.061549,0.090024,0.0,0.0,0.0,466.270833,451.060417,481.283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complaint-heavy,7250000,base-stale,0,48,137561967.146339,130359695.927224,144863083.824034,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,765.875,722.973438,813.835417,0.013182,0.011279,0.015281,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complaint-heavy,7250000,base-stale,1,48,138546924.119214,131591896.460509,146796607.805897,-984956.972875,-1296449.893046,-729976.933716,-0.00755,-0.009355,-0.005807,0.870761,0.861563,0.878828,0.181525,0.171285,0.195151,0.001694,0.001225,0.00221,745.5625,702.5,791.498958,0.053329,0.048574,0.057359,-3.022268,-4.860268,-1.63964,0.996173,0.994137,0.998108,0.914928,0.90675,0.923195,0.099872,0.087887,0.112328,0.001734,0.001233,0.002224,0.003827,0.001629,0.005985,0.354496,0.323124,0.383194,0.470025,0.428984,0.503243,-0.000823,-0.045541,0.059401,1.006904,1.004844,1.008961,0.876578,0.867952,0.884459,0.172859,0.16156,0.184451,0.001713,0.00125,0.002234,-0.006904,-0.00876,-0.004914,0.04044,0.02918,0.050162,0.043645,0.032439,0.053406,-0.009918,-0.039833,0.001261,1.010647,1.008493,1.012824,0.877878,0.86992,0.887118,0.172043,0.158188,0.184014,0.001587,0.001069,0.002173,-0.010647,-0.012607,-0.008629,0.055941,0.043284,0.068946,0.053402,0.039948,0.06643,0.053638,-0.026899,0.143704,1.008139,1.006501,1.009817,0.881745,0.871456,0.889877,0.177331,0.165706,0.190909,0.001736,0.001216,0.002197,-0.008139,-0.009556,-0.006421,0.087583,0.06728,0.10772,0.017459,-0.00179,0.036315,-0.021148,-0.054161,0.000681
complaint-heavy,7250000,base-stale,3,48,138489015.79504,131302925.909517,146948973.140599,-927048.648702,-1189371.399908,-639527.115768,-0.006789,-0.008555,-0.004976,0.869197,0.859776,0.877777,0.183063,0.170853,0.196322,0.002016,0.001467,0.002557,748.875,699.749479,794.483333,0.054067,0.04946,0.058553,-2.617806,-3.378747,-1.996971,0.994621,0.99286,0.996592,0.912966,0.902585,0.921681,0.100175,0.088956,0.11407,0.00211,0.001569,0.002697,0.005379,0.003446,0.007275,0.346603,0.317604,0.378061,0.472056,0.435762,0.506623,-0.030594,-0.088398,0.012498,1.006558,1.004825,1.008272,0.875164,0.865588,0.883017,0.174359,0.163919,0.187366,0.002009,0.001512,0.002529,-0.006558,-0.008328,-0.004827,0.042176,0.031666,0.051021,0.0443,0.032894,0.054259,-0.005468,-0.030916,0.012278,1.009643,1.007499,1.012047,0.876392,0.86655,0.88529,0.173598,0.161001,0.186512,0.001925,0.001415,0.002505,-0.009643,-0.011674,-0.007712,0.055039,0.043917,0.065828,0.05114,0.040484,0.062731,0.029645,-0.04994,0.10995,1.006638,1.005168,1.008111,0.881244,0.873389,0.890804,0.177963,0.165617,0.18875,0.002076,0.001518,0.002629,-0.006638,-0.008333,-0.005201,0.093659,0.076399,0.114888,0.022641,0.005305,0.041151,-0.022888,-0.050357,-0.00182
