seed,scenario_family,decision_date,budget,latency_days,theta,high_risk_threshold,top_share,base_policy_value,base_stale_regret,base_relative_loss,base_target_overlap,base_missed_at_risk,base_window_miss_rate,partial_reopt_policy_value,partial_reopt_stale_regret,partial_reopt_regret_recovery_ratio,partial_reopt_full_refresh_value_ratio,partial_reopt_optimization_call_ratio
41,complaint-heavy,2025-03-26,2640000,1,0.05,0.8,0.15,50482989.725464,-3101852.571027,-0.065466,0.878698,0.169421,0.0,48051773.967747,-670636.81331,-0.783795,1.014154,0.144386
41,complaint-heavy,2025-03-26,2640000,1,0.1,0.8,0.15,50482989.725464,-3101852.571027,-0.065466,0.878698,0.169421,0.0,49281549.51902,-1900412.364583,-0.38733,1.040109,0.062473
41,complaint-heavy,2025-03-26,2640000,1,0.15,0.8,0.15,50482989.725464,-3101852.571027,-0.065466,0.878698,0.169421,0.0,50044971.07759,-2663833.923153,-0.141212,1.056221,0.032329
41,complaint-heavy,2025-03-26,7250000,1,0.05,0.8,0.15,81247754.683117,-259087.34682,-0.003199,0.838655,0.199153,0.0,80610938.824194,377728.512103,-2.45792,0.995336,0.144386
41,complaint-heavy,2025-03-26,7250000,1,0.1,0.8,0.15,81247754.683117,-259087.34682,-0.003199,0.838655,0.199153,0.0,80850019.952247,138647.38405,-1.535138,0.998288,0.062473
41,complaint-heavy,2025-03-26,7250000,1,0.15,0.8,0.15,81247754.683117,-259087.34682,-0.003199,0.838655,0.199153,0.0,80987469.13852,1198.197777,-1.004625,0.999985,0.032329
41,complaint-heavy,2025-03-26,11530000,1,0.05,0.8,0.15,90988607.413775,-150853.095886,-0.001661,0.888313,0.107588,0.0,90937885.369647,-100131.051758,-0.336235,1.001102,0.144386
41,complaint-heavy,2025-03-26,11530000,1,0.1,0.8,0.15,90988607.413775,-150853.095886,-0.001661,0.888313,0.107588,0.0,90982784.442416,-145030.124527,-0.0386,1.001597,0.062473
41,complaint-heavy,2025-03-26,11530000,1,0.15,0.8,0.15,90988607.413775,-150853.095886,-0.001661,0.888313,0.107588,0.0,90986968.96366,-149214.645771,-0.010861,1.001643,0.032329
41,complaint-heavy,2025-03-26,2640000,3,0.05,0.8,0.15,49565244.950007,-2184107.79557,-0.046097,0.905325,0.132231,0.005988,48278294.641422,-897157.486985,-0.589234,1.018935,0.119703
